ID,Condition,Age,Gender,Nationality,Education,Robot interaction,Robot movies,Robot control,Robot program,Mental rating,Physical rating,Temporal rating,Performance rating,Effort rating,Frustration rating,Mental tally,Physical tally,Temporal tally,Performance tally,Effort tally,Frustration tally,Mental weight,Physical weight,Temporal weight,Performance weight,Effort weight,Frustration weight,NASA overall,T1 Dependable,T1 Reliable,T1 Unresponsive,T1 Predictable,T1 ActConsistently,T1 FunctionSuccessfully,T1 Malfunction,T1 HaveErrors,T1 ProvideFeedback,T1 MeetTheNeeds,T1 ProvideAppropriateInformation,T1 CommunicateWithPeople,T1 Perform exactly as instructed,T1 Follow Directions,T2 Dependable,T2 Reliable,T2 Unresponsive,T2 Predictable,T2 ActConsistently,T2 FunctionSuccessfully,T2 Malfunction,T2 HaveErrors,T2 ProvideFeedback,T2 MeetTheNeeds,T2 ProvideAppropriateInformation,T2 CommunicateWithPeople,T2 Perform exactly as instructed,T2 Follow Directions,G1 UserScore,G1 RobotScore,G1 UserMistake,G1 RobotMistake,G1 Missed,G1 Total,G2 UserScore,G2 RobotScore,G2 UserMistake,G2 RobotMistake,G2 Missed,G2 Total,Godspeed Incompetent, Godspeed Mechanical,Godspeed Irresponsible,Godspeed  Unconscious,Godspeed Foolish,Godspeed Unpleasant,Godspeed  Ignorant,Godspeed  Artificial,Godspeed Unintelligent,Godspeed Inert,Godspeed Anxious,Godspeed Happy,Godspeed Quiescent,Godspeed Bored,Godspeed Agitated,Godspeed Angry,R1 Missed Yellow,R1 Missed Red,R1 Missed Green,R1 User Correct Yellow,R1 User Correct Red,R1 User Correct Green,R1 Robot Correct Yellow,R1 Robot Correct Red,R1 Robot Correct Green,R1 User Incorrect Yellow,R1 User Incorrect Red,R1 User Incorrect Green,R1 Robot Incorrect Yellow,R1 Robot Incorrect Red,R1 Robot Incorrect Green,R1 total color mistake prevented,R1 total grasp mistake prevented,R2 Missed Yellow,R2 Missed Red,R2 Missed Green,R2 User Correct Yellow,R2 User Correct Red,R2 User Correct Green,R2 Robot Correct Yellow,R2 Robot Correct Red,R2 Robot Correct Green,R2 User Incorrect Yellow,R2 User Incorrect Red,R2 User Incorrect Green,R2 Robot Incorrect Yellow,R2 Robot Incorrect Red,R2 Robot Incorrect Green,R2 total color mistake prevented,R2 total grasp mistake prevented,R1 red itchy zone mistake correctsort,R1 green itchy zone mistake correctsort,R1 red prevention zone mistake correctsort,R1 green prevention zone mistake correctsort,R1 red robot zone mistake correctsort,R1 green robot zone mistake correctsort,R1 red cleanup zone mistake correctsort,R1 green cleanup zone mistake correctsort,R2 red itchy zone mistake correctsort,R2 green itchy zone mistake correctsort,R2 red prevention zone mistake correctsort,R2 green prevention zone mistake correctsort,R2 red robot zone mistake correctsort,R2 green robot zone mistake correctsort,R2 red cleanup zone mistake correctsort,R2 green cleanup zone mistake correctsort,R1 avg dist prevent red,R1 avg dist prevent green,R2 avg dist prevent red,R2 avg dist prevent green,R1 total can avg distance green,R1 total can avg distance yellow,R1 total can avg distance red,R2 total can avg distance green,R2 total can avg distance yellow,R2 total can avg distance red,R1 red itchy zone all correctsort,R1 green itchy zone all correctsort,R1 yellow itchy zone all correctsort,R1 red prevention zone all correctsort,R1 green prevention zone all correctsort,R1 yellow prevention zone all correctsort,R1 red robot zone all correctsort,R1 green robot zone all correctsort,R1 yellow robot zone all correctsort,R1 red cleanup zone all correctsort,R1 green cleanup zone all correctsort,R1 yellow cleanup zone all correctsort,R2 red itchy zone all correctsort,R2 green itchy zone all correctsort,R2 yellow itchy zone all correctsort,R2 red prevention zone all correctsort,R2 green prevention zone all correctsort,R2 yellow prevention zone all correctsort,R2 red robot zone all correctsort,R2 green robot zone all correctsort,R2 yellow robot zone all correctsort,R2 red cleanup zone all correctsort,R2 green cleanup zone all correctsort,R2 yellow cleanup zone all correctsort
26,control,27,Female,Spain,MSc,Between 1 and 2,10,Between 1 and 2,More than 10,15,15,60,80,20,25,1,0,5,4,2,3,0.0666,0,0.333,0.2666,0.1333,0.2,50,50,50,10,80,70,60,10,10,30,40,30,10,80,90,50,40,30,60,60,50,40,20,0,80,0,0,70,60,30,12,1,2,2,37,27,16,0,1,8,34,4,1,3,2,4,5,4,1,3,1,2,1,4,3,2,2,1,1,0,12,5,13,0,3,3,1,0,0,0,1,0,5,7,0,0,0,8,7,12,0,4,4,0,0,1,1,2,1,3,8,0,0,2,3,0,0,0,0,0,0,3,3,0,1,0,0,1.586401206,1.701556044,0.732000955,1.543199138,1.26518668,1.045991198,1.457743676,1.567435122,1.572001375,1.719323879,0,0,0,4,9,5,1,2,3,0,2,4,0,0,0,11,19,13,1,4,3,0,2,4
27,all,33,Male,Romanian,MSc,More than 10,More than 10,More than 10,More than 10,25,50,55,25,30,90,3,2,1,0,4,5,0.2,0.1333,0.0666,0,0.2666,0.3333,53.333,50,50,20,40,60,70,20,10,70,60,60,70,60,60,80,90,10,80,90,80,40,60,90,70,90,90,60,60,26,20,0,6,1,39,26,26,0,2,0,50,4,2,4,3,4,4,4,3,4,5,4,2,4,5,4,4,1,0,0,10,6,10,0,4,6,0,0,0,2,1,0,4,8,0,0,0,10,7,9,0,5,8,0,0,0,0,1,0,6,8,0,0,2,2,1,1,0,0,0,0,4,4,1,1,0,0,1.455200786,1.285570101,1.744798869,1.76162216,1.401260002,1.216141736,1.205202051,1.814556734,1.759200902,1.745376465,0,0,0,3,7,4,2,3,5,1,0,1,0,0,0,10,16,14,2,3,5,1,0,1
28,all,25,Female,Hungarian,MSc,More than 10,Between 2 and 5,Between 5 and 10,Between 2 and 5,20,5,25,20,25,5,5,1,2,2,4,1,0.333,0.0666,0.1333,0.1333,0.2666,0.06666,20,40,70,10,60,70,70,20,10,80,80,70,70,60,90,60,80,30,70,70,50,20,30,100,70,100,100,70,70,22,20,1,6,4,31,27,26,0,0,0,53,4,2,4,2,3,4,4,2,3,5,5,2,3,4,5,5,1,1,2,10,5,7,0,4,6,0,1,0,2,1,0,3,5,0,0,0,10,8,9,0,5,8,0,0,0,0,0,0,7,8,0,0,0,1,2,0,0,1,0,0,3,2,2,1,0,1,1.154400161,1.03202311,1.279199037,1.44400416,1.236040007,0.838718711,0.991588798,1.412991936,1.509600524,1.531124821,0,0,0,0,4,1,4,2,5,1,1,4,0,0,0,8,10,10,4,5,6,1,1,4
29,all,32,Male,Hungarian,BSc,Between 1 and 2,More than 10,None,None,60,50,35,35,45,35,4,2,2,4,3,0,0.2666,0.13333,0.13333,0.2666,0.2,0,45.66667,70,80,30,70,70,80,10,20,10,80,30,40,80,90,50,50,10,50,30,40,50,80,0,50,10,0,50,40,34,10,1,0,0,43,28,22,0,2,0,48,3,1,3,1,2,4,1,2,2,1,4,3,4,3,4,5,0,0,0,12,7,15,0,4,1,0,0,1,0,0,0,7,8,0,0,0,10,8,10,0,4,7,0,0,0,0,1,0,6,8,0,0,2,2,2,0,0,1,0,0,4,4,2,0,0,1,1.170400937,1.264817077,1.845599332,1.867215702,1.165878349,1.267417368,1.284668809,1.998182478,1.955040639,1.900727561,0,0,0,4,7,7,3,7,5,0,1,0,0,0,0,12,17,17,3,7,5,0,1,0
30,control,23,Male,Hungarian,BSc,Between 1 and 2,More than 10,None,None,20,10,20,30,25,15,4,0,4,3,3,1,0.2666,0,0.2666,0.2,0.2,0.0666,22.666,70,80,30,80,70,80,20,20,40,90,80,30,70,80,50,40,60,40,40,60,60,60,20,30,40,20,40,40,26,16,0,2,5,35,27,14,0,4,4,33,2,2,3,1,3,3,2,2,3,3,4,3,4,2,4,4,0,4,1,13,0,13,0,6,2,0,0,0,0,1,0,5,4,0,4,0,10,0,17,0,7,0,0,0,0,0,2,0,5,4,0,0,0,3,0,0,0,0,0,1,0,4,0,0,0,0,1.851998558,nan,2.138400982,nan,1.918081136,1.969950115,nan,2.106762818,2.050080431,nan,0,1,0,0,12,13,0,0,0,0,0,0,0,4,0,0,26,23,0,0,0,0,0,0
31,all,26,Male,Danish,MSc,More than 10,More than 10,More than 10,More than 10,40,10,65,20,70,65,4,0,4,4,1,2,0.2666,0,0.266,0.2666,0.0666,0.1333,46.6666,70,80,20,80,70,60,10,10,90,60,90,100,80,30,50,50,30,60,70,50,30,30,70,30,70,70,40,40,27,24,0,2,0,49,25,24,0,4,1,44,3,2,2,1,2,3,3,1,2,2,2,3,3,4,2,3,0,0,0,13,6,8,0,4,8,0,0,0,0,1,0,6,8,0,0,1,10,7,8,0,5,7,0,0,0,0,1,1,4,8,0,0,3,2,0,1,0,0,0,0,5,2,0,1,0,0,1.413600863,1.551121285,nan,1.339214969,1.486941794,1.591647137,1.532332312,1.142326836,1.511520871,1.573955058,0,0,0,6,7,13,0,1,0,0,0,0,0,0,0,13,11,21,0,3,2,0,2,0
32,all,23,Female,Spanish,BSc,None,More than 10,None,None,70,15,25,55,75,15,5,1,1,3,4,1,0.333,0.0666,0.0666,0.2,0.2666,0.06666,58,30,70,20,60,70,70,20,10,0,70,70,0,70,70,70,30,30,70,40,40,20,20,0,40,0,0,40,60,28,14,1,2,3,36,29,18,0,4,0,43,4,1,3,3,2,2,3,1,2,1,3,3,3,3,3,3,0,3,0,13,0,15,0,6,1,0,0,1,0,1,0,5,5,0,0,0,10,6,13,0,5,4,0,0,0,0,2,0,5,8,0,0,0,3,0,0,0,0,0,0,1,4,0,0,0,1,1.9287998,nan,1.101600401,1.56239858,1.920802857,1.710666383,nan,1.321083903,1.410721018,1.554505226,0,0,0,0,15,13,0,0,0,0,0,0,0,0,0,5,22,19,1,3,4,0,3,0
33,control,24,Female,German,BSc,Between 2 and 5,More than 10,None,Between 1 and 2,25,85,40,15,30,15,5,2,1,4,3,0,0.333,0.1333,0.06666,0.2666,0.2,0,32.3333,80,60,10,70,100,80,20,20,60,70,60,80,70,100,10,10,50,30,20,60,80,90,0,70,0,0,70,0,35,6,0,0,2,39,37,4,0,0,0,41,2,2,2,3,4,3,3,1,3,2,4,2,2,5,4,4,0,2,0,13,6,16,0,3,0,0,0,0,0,0,0,6,7,0,0,0,10,10,17,0,2,0,0,0,0,0,0,0,6,8,0,0,2,3,0,0,0,0,0,1,4,4,0,0,0,0,2.047200055,2.030171948,2.133600416,2.06404495,2.042274646,1.977050426,1.941453463,2.075652002,2.08272064,2.015459137,0,3,0,6,13,13,0,0,0,0,0,0,0,7,3,16,26,20,0,0,0,0,0,0
34,control,63,Female,Danish,BSc,None,Between 1 and 2,None,None,25,40,70,25,60,20,1,0,3,5,4,2,0.06666,0,0.2,0.33333,0.26666,0.1333,42.6666,50,100,50,100,100,100,0,0,100,100,100,70,100,100,100,90,50,70,70,100,0,0,0,100,0,0,100,100,11,28,2,2,0,35,22,22,1,10,0,33,5,3,3,1,4,3,3,3,4,5,2,1,3,5,5,5,6,3,4,4,2,6,0,4,6,0,0,3,1,1,0,3,3,1,0,0,7,5,10,0,5,6,0,0,1,2,2,1,2,8,0,0,0,1,0,0,0,1,0,0,1,2,0,0,0,1,1.068001363,nan,1.653599998,1.476002187,1.37630471,0.93839881,0.913242915,1.285227917,0.907542825,1.584344877,0,0,0,0,4,1,1,1,0,1,1,3,0,0,0,5,9,4,1,5,2,1,2,5
35,control,29,Male,Danish,BSc,More than 10,More than 10,More than 10,More than 10,25,15,10,10,30,50,3,0,2,5,1,4,0.2,0,0.133,0.333,0.0666,0.2666,25,80,80,40,60,80,80,10,10,0,70,0,0,80,20,80,80,10,70,90,80,10,0,0,70,70,10,80,80,25,18,0,4,4,35,24,26,0,4,1,45,4,1,4,1,3,3,4,2,4,1,4,2,3,4,5,5,0,4,0,12,0,13,0,6,3,0,0,0,1,1,0,4,5,0,1,0,10,3,11,0,7,6,0,0,0,0,2,0,5,7,0,0,0,1,0,2,0,0,0,0,0,2,0,2,0,1,1.205601583,nan,1.264801053,nan,1.195707326,1.719695206,nan,1.327055581,1.788000918,0.621451218,0,0,0,0,7,10,0,3,2,0,3,0,0,0,0,0,15,20,1,4,2,2,5,0
36,control,25,Female,Polish,BSc,More than 10,More than 10,More than 10,More than 10,50,70,40,100,100,100,1,4,3,4,2,1,0.0666,0.2666,0.2,0.266,0.1333,0.0666,76.666,60,40,30,60,80,80,10,10,100,100,100,100,80,50,20,20,10,0,10,10,0,0,0,0,10,20,10,10,35,4,1,4,0,34,32,12,1,2,0,41,1,3,1,3,2,1,1,4,1,3,2,3,4,3,2,2,0,0,0,13,9,13,0,0,2,1,0,0,0,1,1,5,8,0,0,0,9,10,13,0,2,4,0,0,1,0,1,0,6,8,0,0,3,2,0,0,0,0,0,0,4,3,0,0,1,1,1.951198625,2.082202446,1.140000017,1.267254845,1.874566678,1.772037743,1.806507826,1.663633461,1.711201135,1.497059585,0,1,0,8,12,13,1,0,0,0,0,0,0,2,0,15,22,20,2,1,2,2,1,0
37,all,24,Male,Danish,BSc,More than 10,More than 10,None,None,20,15,15,25,35,65,5,0,4,2,3,1,0.333,0,0.2666,0.1333,0.2,0.0666,25.3333,50,50,20,80,40,40,60,60,80,70,80,80,20,40,70,70,20,90,70,80,30,30,90,90,90,90,80,90,20,6,0,2,16,8,24,30,0,2,0,52,4,1,3,2,3,4,4,1,3,2,4,2,3,4,4,5,10,2,4,2,8,10,0,1,2,0,0,0,1,0,0,5,2,0,0,0,10,5,9,0,7,8,0,0,0,0,1,0,6,8,0,0,3,3,0,0,0,0,0,0,5,4,0,1,0,0,1.775199686,1.73834366,1.211998959,1.636796541,1.705369878,1.371601765,1.777779353,1.513113291,1.685281358,1.636184334,0,0,0,8,9,2,0,1,0,0,0,0,0,0,0,13,17,12,0,2,0,0,0,0
38,control,41,Male,Mexican,BSc,Between 1 and 2,More than 10,Between 1 and 2,Between 1 and 2,80,10,10,45,70,80,3,0,3,5,3,1,0.2,0,0.2,0.333,0.2,0.0666,52.333,20,80,20,50,80,80,20,10,10,50,80,10,100,100,70,60,40,70,60,80,10,10,0,70,0,0,50,100,23,24,2,4,1,40,22,30,0,6,0,46,4,1,5,1,3,5,5,1,1,3,1,1,3,5,4,5,0,1,0,12,6,5,0,4,8,2,0,0,1,0,1,5,5,0,0,0,9,4,9,0,7,8,0,0,0,1,2,0,4,8,0,0,0,0,1,0,2,2,0,0,0,0,1,1,3,3,0.343200186,0.631234093,0.741599984,0.410506437,0.544106115,0.905900101,0.780409564,0.943656965,1.436001076,0.631140083,0,0,0,1,0,1,2,1,9,3,4,2,0,0,0,1,3,8,4,3,11,5,8,2
39,all,22,Male,Danish,BSc,More than 10,More than 10,More than 10,None,40,15,35,15,30,15,4,0,5,1,3,2,0.2666,0,0.3333,0.0666,0.2,0.1333,31.3333,90,90,20,80,90,90,0,0,90,90,80,60,90,90,70,70,10,90,80,90,10,10,70,90,70,90,70,70,27,24,2,0,0,49,22,32,2,0,0,52,4,2,4,2,4,5,3,2,3,4,4,2,3,4,4,5,0,0,0,13,6,8,0,5,7,0,0,0,0,0,1,6,8,0,0,0,10,7,5,0,6,10,2,0,0,0,0,0,6,7,0,0,3,0,1,2,0,0,0,0,6,0,1,3,0,0,1.044000172,1.425524215,1.077598146,1.652011979,1.655608255,1.904114142,1.473722601,1.428866043,2.02608036,1.660360151,0,0,0,5,6,13,1,2,0,0,0,0,0,0,0,11,9,23,2,3,0,0,1,0
40,control,27,Female,Hungarian,BSc,None,Between 1 and 2,None,None,55,5,40,50,45,45,4,0,3,4,3,1,0.2666666667,0,0.2,0.2666,0.2,0.06666,48,100,100,40,100,100,90,10,10,0,100,100,0,100,100,50,50,70,20,70,40,80,80,0,40,10,0,90,80,28,16,0,4,2,38,28,14,0,6,2,34,2,1,3,3,3,3,2,1,5,3,3,3,3,5,4,5,1,1,0,11,5,12,0,5,3,0,0,0,1,0,1,5,7,1,0,1,7,9,12,0,3,4,0,0,0,2,1,0,3,8,0,0,1,0,3,2,0,0,0,0,1,0,5,3,0,0,0.842399039,1.005643445,1.029600573,0.916824097,1.065023232,0.946818035,0.989315647,1.039377565,1.111885522,0.909675207,0,0,0,1,4,1,4,6,9,0,2,1,0,0,0,1,5,1,13,17,16,0,2,1
